Price,Close,High,Low,Open,Volume
Ticker,IOC.NS,IOC.NS,IOC.NS,IOC.NS,IOC.NS
Date,,,,,
2020-12-02,40.84654998779297,41.28551036296067,39.55276647370427,39.66828361430714,67092000
2020-12-03,41.539649963378906,41.63206156607874,40.47690066858572,41.33171856938925,58976355
2020-12-04,41.77068328857422,42.25585215407017,41.12379146791296,41.72447748537202,37284490
2020-12-07,42.371360778808594,42.602395050655694,41.770677488712074,41.8168832854986,32007978
2020-12-08,42.07102584838867,42.648606314126006,41.60895988942426,42.50998626204092,25684155
2020-12-09,43.4110107421875,43.54963078822955,42.09412691468173,42.23274696072377,51701644
2020-12-10,42.717918395996094,43.3879131640874,42.117234981406725,43.3879131640874,33364783
2020-12-11,43.36480712890625,44.40445356072738,42.99515541678641,43.226187075871906,82795728
2020-12-14,44.450653076171875,44.727893143024716,43.71134975650726,43.89617558642341,52441758
2020-12-15,44.10409927368164,44.47375089126441,43.59583028247303,44.47375089126441,31439902
2020-12-16,44.51996612548828,45.05134341292412,44.26583157598015,44.58928011491707,33946033
2020-12-17,44.08100128173828,44.82030459914544,43.896175452386494,44.58927561740222,24968898
2020-12-18,43.4110107421875,44.24272837448231,43.11067039371345,44.08100542809284,36546885
2020-12-21,40.24586868286133,43.156879282191035,39.090707719095725,43.156879282191035,73823025
2020-12-22,40.63861846923828,40.89275564891841,38.905874585809535,39.7375921786468,51043984
2020-12-23,40.73103332519531,40.93896206555479,40.08414156055927,40.754136224795545,31573149
2020-12-24,41.70137023925781,42.1634361843099,40.77724099311114,40.77724099311114,32996755
2020-12-28,42.371360778808594,42.50998081312541,42.00170911660193,42.04791491338845,19819689
2020-12-29,42.14033508300781,42.74101845766245,41.770683368765326,42.5099867972503,22058307
2020-12-30,42.001708984375,42.37136064541795,41.58585152669098,42.209640357174244,20131573
2020-12-31,42.02481460571289,42.348260491072615,41.67826582053568,41.81688586339805,22766266
2021-01-01,42.278953552246094,42.39446805614394,42.09412770205202,42.1865393051703,10716213
2021-01-04,43.36480712890625,43.45722137891501,42.509986553145026,42.509986553145026,31411359
2021-01-05,42.9720458984375,43.08756038821452,42.4175684156362,42.9720458984375,28072567
2021-01-06,43.48031997680664,44.173417529418906,43.06445985886487,43.133771200500505,37066479
2021-01-07,43.6651496887207,44.104110100877556,43.34170378294324,43.89618134543707,27214861
2021-01-08,44.427555084228516,44.54306958820955,43.73445748451227,43.94238887959315,33813061
2021-01-11,44.358245849609375,44.797206247385475,43.71135405924724,44.4506574516854,24338116
2021-01-12,45.259273529052734,45.90616001285419,43.988592885473274,44.17341872825544,47912310
2021-01-13,46.645469665527344,47.47718465378535,45.37478899488018,45.49030349660631,83906529
2021-01-14,47.68511962890625,47.869942845559706,46.3451301565074,47.01512489270683,46080657
2021-01-15,46.807186126708984,48.008552709815305,46.43753446360592,47.75442082687317,41757006
2021-01-18,45.420997619628906,47.06133008570257,45.0513459032072,46.9227073870974,42899784
2021-01-19,45.5365104675293,46.34512786413749,45.282378557200936,45.74444186389485,36623602
2021-01-20,45.420997619628906,46.11409524890902,45.16686041211546,45.698237728924006,28395798
2021-01-21,44.68169403076172,46.021683481079535,44.45065972583668,45.37479165762161,38452279
2021-01-22,44.21961975097656,44.982028583553735,44.01169103080356,44.58927404056505,33756312
2021-01-25,43.17998123168945,45.051345335975334,43.04136117878724,44.82031103315245,33799852
2021-01-27,42.23274612426758,43.341701182725195,41.70136885097121,42.97204949657266,41240343
2021-01-28,42.7872200012207,42.948942930602605,41.701365291383034,41.79377952701149,36206854
2021-01-29,43.087562561035156,44.49686055904053,42.87963382499388,43.34169973927464,111293214
2021-02-01,44.265830993652344,44.543068440017954,43.15687592027501,44.265830993652344,79766275
2021-02-02,45.65203094482422,45.836854155107716,44.70479612837583,45.074447836857985,57962112
2021-02-03,47.06132507324219,47.315456965773,46.160296135979735,46.483742014388206,87238200
2021-02-04,47.869937896728516,48.21648668004259,47.361668815561444,47.50028621372116,76757127
2021-02-05,47.315460205078125,48.332003708539965,47.15373989875957,48.28579790673466,47134357
2021-02-08,48.100975036621094,48.23959244300848,47.33856872566029,48.05476923449197,56887465
